name,city,state_region,country,address,phone,rating,review_count,latitude,longitude,keyword,scraped_date,website
Elite Roofing LLC,Birmingham,Alabama,USA," 1 Perimeter Park S #100, Birmingham, AL 35243", (833) 401-7663,5,,33.4901927,-86.7600861,roof repair near me,2026-06-23,https://www.eliteroofpro.com
Hinkle Roofing,Birmingham,Alabama,USA," 639 1st Ct N, Birmingham, AL 35203", (205) 844-4880,4.7,,33.5058512,-87.129162,roofing repair near me,2026-06-23,http://www.hinkleroofing.com
Blue Angels Roofing Birmingham,Birmingham,Alabama,USA," 2230 Old Springville Rd, Birmingham, AL 35215", (205) 810-1418,4.8,,33.474584,-86.7600861,emergency roof repair near me,2026-06-23,http://www.blueangelsroofing.com
Cahaba Valley Roofing,Birmingham,Alabama,USA," 2 32nd St S, Birmingham, AL 35233", (205) 796-8755,5,,33.5202508,-87.09336,roof leak repair near me,2026-06-23,https://cahabavalleyroofing.com
CentiMark Corporation,Birmingham,Alabama,USA," 161 Commerce Pkwy, Pelham, AL 35124", (205) 909-1366,4.5,,33.329272,-87.0999366,commercial roof repair near me,2026-06-23,https://www.centimark.com
Roofing World,Birmingham,Alabama,USA," 1100 Corporate Dr, Birmingham, AL 35242", (205) 851-9006,,,33.4906332,-86.7600861,metal roof repair near me,2026-06-23,https://roofingworldal.com
Guyette Roofing and Construction,Montgomery,Alabama,USA," 1849 Upper Wetumpka Rd, Montgomery, AL 36107", (334) 279-8326,4.9,,32.5762265,-86.6807364,roof repair near me,2026-06-23,http://www.guyetteroofing.com
Erie Home Roofing,Montgomery,Alabama,USA," 895 Lagoon Commercial Blvd, Montgomery, AL 36117", (334) 500-4225,4.7,,32.5762265,-86.6807364,roof leak repair near me,2026-06-23,https://eriehome.com
Huntsville Roofing Solutions,Huntsville,Alabama,USA," 7734 Madison Blvd Ste 113, Huntsville, AL 35806", (256) 617-6671,4.9,,34.739116,-86.6019995,roof repair near me,2026-06-23,https://www.huntsvilleroofingsolutions.com
Haines Home Inspections,Huntsville,Alabama,USA," 11002 SE Willingham Dr, Huntsville, AL 35803", (256) 652-7448,5,,34.7281495,-86.6019995,roof leak repair near me,2026-06-23,https://www.haineshomeinspections.com
Roofing World,Huntsville,Alabama,USA," 3322 Memorial Pkwy SW Ste 05-535A, Huntsville, AL 35801", (256) 314-9987,4.8,,34.6992935,-86.6780524,metal roof repair near me,2026-06-23,https://roofingworldal.com
"Advanced Roofing & Construction, LLC",Huntsville,Alabama,USA," 7027 Old Madison Pike Ste 108, Huntsville, AL 35806", (256) 603-9171,5,,34.7121048,-86.8295583,roof repair companies near me,2026-06-23,https://advancedalabama.com
Mobile Roofing & Construction,Mobile,Alabama,USA," 114 Westfield Ave, Mobile, AL 36608", (251) 888-0301,4.9,,30.6840031,-89.3949029,roof repair near me,2026-06-23,https://www.roofingmobilealabama.com
Metal Roof Mobile AL,Mobile,Alabama,USA," 805 McNeil Ave, Mobile, AL 36609", (251) 588-3086,5,,30.6737174,-88.3364991,metal roof repair near me,2026-06-23,https://metalroofmobileal.com
Premier Roofing and Repair,Tuscaloosa,Alabama,USA," 2415 12th St, Tuscaloosa, AL 35401", (205) 361-5008,4.8,,33.190332,-87.5758489,roof repair near me,2026-06-23,https://premierroofingandrepair.com
Storm Proof Roofing,Anchorage,Alaska,USA," 205 E Dimond Blvd #549, Anchorage, AK 99515", (907) 770-6666,5,,60.7834785,-149.907509,roof repair near me,2026-06-23,http://stormproofroofing.org
Reds Roofing & Renovations LLC,Anchorage,Alaska,USA," 8240 Hartzell Rd Unit 4, Anchorage, AK 99507", (907) 802-7575,4.8,,60.7834785,-149.907509,emergency roof repair near me,2026-06-23,https://redsroofingak.com
Premier Roofing Co.,Anchorage,Alaska,USA," 11580 Doggie Ave, Anchorage, AK 99507", (907) 346-4131,4.9,,61.116066,-150.9370436,commercial roof repair near me,2026-06-23,https://www.premierroofingalaska.com
A & A Roofing Co,Fairbanks,Alaska,USA," 925 Aspen St, Fairbanks, AK 99709", (907) 452-3633,4.7,,64.853192,-148.0770227,roof repair near me,2026-06-23,https://sites.google.com
Interior Alaska Roofing Inc.,Fairbanks,Alaska,USA," 3790 Schacht St, Fairbanks, AK 99701", (907) 456-5545,4.2,,61.307439,-158.8131739,commercial roof repair near me,2026-06-23,http://www.interiorakroofing.com
Silver Bow Construction,Juneau,Alaska,USA," 5331 Shaune Dr, Juneau, AK 99801", (907) 780-4157,4.7,,57.1970535,-133.9629975,roof repair near me,2026-06-23,https://silverbowalaska.com
Bullick Roofing & Construction Services,Juneau,Alaska,USA," Juneau, AK 99801", (907) 789-0506,5,,61.307439,-158.8131739,metal roof repair near me,2026-06-23,https://desnorth.com
Dumags Roofing Co,Sitka,Alaska,USA," 113 Molly Ln Unit B, Sitka, AK 99835", (907) 738-1465,5,1,57.0744645,-135.4410636,roof repair near me,2026-06-23,https://www.dumagsroofing.com
Channel Seamless Gutter & Roof,Ketchikan,Alaska,USA," 10805 N Tongass Hwy, Ketchikan, AK 99901", (907) 225-3147,4.5,,58.665415,-141.0005939,roof repair near me,2026-06-23,http://schmolckmechanical.com
Flow-Rite Seamless LLC,Phoenix,Arizona,USA," 3401 W Phelps Rd, Phoenix, AZ 85053", (602) 428-0243,5,,33.638161,-112.4372496,roof repair near me,2026-06-23,https://www.phoenixgutter.org
"Guaranteed Home Solutions, LLC",Phoenix,Arizona,USA," 3920 S Rural Rd, Tempe, AZ 85282", (480) 999-2251,4.7,,33.5107331,-112.1050989,roofing repair near me,2026-06-23,https://www.guaranteedhomesolutions.com
CentiMark Corporation,Phoenix,Arizona,USA," 1956 W Cheryl Dr, Phoenix, AZ 85021", (602) 333-6633,4.5,,33.578938,-112.4066786,commercial roof repair near me,2026-06-23,https://www.centimark.com
The Patch Boys of Greater Tucson,Tucson,Arizona,USA," 7400 N Oracle Rd Ste 150-311, Tucson, AZ 85704", (520) 339-6800,4.7,,32.342086,-111.1287363,roof repair near me,2026-06-23,https://patchboystucson.com
Masters Roof Repair Tucson,Tucson,Arizona,USA," 177 N Church Ave Ste 1390, Tucson, AZ 85701", (520) 492-6348,4.7,,32.2215941,-110.963584,commercial roof repair near me,2026-06-23,https://mastersroofrepair.com
Alan Bradley Roofing,Tucson,Arizona,USA," 4151 E Columbia St, Tucson, AZ 85714", (520) 885-3571,3.3,,32.2567161,-110.9446952,flat roof repair near me,2026-06-23,http://www.alanbradleyroofing.com
All About Roofing LLC,Tucson,Arizona,USA," 5232 E Pima St Ste c, Tucson, AZ 85712", (520) 428-3004,4.1,,32.210972,-110.8672565,metal roof repair near me,2026-06-23,https://www.allaboutroofing.com
Day One Roofing,Mesa,Arizona,USA," 4365 E Pecos Rd #108, Gilbert, AZ 85297", (480) 718-6204,5,,33.4247489,-111.7488613,roof repair near me,2026-06-23,https://www.day1roofing.com
Chandler Roofing - Roof Repair & Replacement,Chandler,Arizona,USA," 250 S Arizona Ave Ste 1, Chandler, AZ 85225", (480) 651-8343,5,,33.466465,-112.0426795,roof repair near me,2026-06-23,https://roofing-chandler.com
Real Roofing,Chandler,Arizona,USA," 481 N Arizona Ave, Chandler, AZ 85225", (602) 910-2708,4.9,,33.466465,-112.094617,emergency roof repair near me,2026-06-23,https://www.realroofingofficial.com
Roofer Zeek's Emergency Service,Scottsdale,Arizona,USA," 4848 E Cactus Rd #7090, Scottsdale, AZ 85254", (602) 671-2861,4.8,,33.5991861,-112.2817209,emergency roof repair near me,2026-06-23,https://www.scottsdaleroofingandgutters.com
Acclaimed Roofing Scottsdale | Residential & Commercial Roofing,Scottsdale,Arizona,USA," 6619 N Scottsdale Rd #7, Scottsdale, AZ 85250", (480) 454-7033,4.8,,33.5329607,-112.2287543,commercial roof repair near me,2026-06-23,https://acclaimedroofingaz.com
