name,address,phone,website,rating,ratings_count,latitude,longitude,google_image_url,description,state,city,search_term,open_hours
Alabama Roof RX,"2720 Pelham Pkwy #200, Pelham, AL 35124, USA",(205) 846-7316,https://alabamaroofrx.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,5,85,33.3131644,-86.8021584,,,Alabama,Pelham,emergency roof repair,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
Blue Angels Roofing Birmingham,"2230 Old Springville Rd, Birmingham, AL 35215, USA",(205) 810-1418,http://www.blueangelsroofing.com/,4.8,438,33.644317,-86.655207,,,Alabama,Birmingham,emergency roof repair,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
256-ROOFERS LLC,"21 Front St, Madison, AL 35758, USA",(256) 766-3377,https://256roofers.com/,5,64,34.6943206,-86.7498677,,,Alabama,Madison,emergency roof repair,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
Just Roof Leaks℠,"205 Legacy Parc Cir, Pelham, AL 35124, USA",(205) 413-4683,http://www.justroofleaks.com/,5,10,33.3048511,-86.78812,,,Alabama,Pelham,emergency roof repair,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
The Roofing Dudes,"123 Hilltop Business Center Dr, Pelham, AL 35124, USA",(205) 732-7231,https://theroofingdudes.com/?utm_source=GBP&utm_medium=organic,5,404,33.3360684,-86.7958648,,,Alabama,Pelham,emergency roof repair,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
Advantage Plus Roofing LLC: Alabama Roofer,"7585 Stemley Bridge Rd, Talladega, AL 35160, USA",(256) 375-9339,https://www.advantageplusroofing.com/,4.9,91,33.5123803,-86.2153084,,,Alabama,Talladega,emergency roof repair,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed"
Green Valley Roofing & Construction,"165 Oxmoor Blvd, Homewood, AL 35209, USA",(205) 791-5800,https://greenvalleyroofers.com/,5,505,33.4623415,-86.8304975,,,Alabama,Homewood,emergency roof repair,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
Alabama Roofing Professionals,"5508 Eastcliff Industrial Blvd, Birmingham, AL 35210, USA",(205) 206-7836,https://alroofpros.com/,5,5,33.5799969,-86.6333027,,,Alabama,Birmingham,emergency roof repair,"Monday: 8:00 AM – 5:00 PM
Tuesday: 8:00 AM – 5:00 PM
Wednesday: 8:00 AM – 5:00 PM
Thursday: 8:00 AM – 5:00 PM
Friday: 8:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed"
Prime Roofing & Restoration,"5 Brown Cir, Alabaster, AL 35007, USA",(205) 661-8190,https://www.prime-roofs.com/,4.9,253,33.2592931,-86.8121193,,,Alabama,Alabaster,emergency roof repair,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
Reliable Services | Roofing | Concrete | Painting | Construction,"7223 1st Ave N, Birmingham, AL 35206, USA",(205) 407-7462,https://reliableserviceroofing.com/,5,17,33.5563631,-86.7332352,,,Alabama,Birmingham,emergency roof repair,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
Idea Roofing,"3309 Helena Rd, Helena, AL 35080, USA",(205) 901-0401,https://www.idearoofingandconstruction.com/,5,738,33.2885176,-86.8459207,,,Alabama,Helena,emergency roof repair,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
Alabama Discount Roofing,"2108 Adkins Pl, Moody, AL 35004, USA",(205) 821-7247,https://alabamadiscountroofing.com/,5,79,33.5988152,-86.4871571,,,Alabama,Moody,emergency roof repair,"Monday: 8:00 AM – 6:00 PM
Tuesday: 8:00 AM – 6:00 PM
Wednesday: 8:00 AM – 6:00 PM
Thursday: 8:00 AM – 6:00 PM
Friday: 8:00 AM – 6:00 PM
Saturday: 8:00 AM – 6:00 PM
Sunday: Closed"
NANOROOF Alabama,"441 US-31 Ste 100, Warrior, AL 35180, USA",(205) 842-8697,http://www.nanoroofal.com/?utm_campaign=gmb,5,276,33.8062618,-86.8128156,,,Alabama,Warrior,emergency roof repair,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Closed"
Southern Guard Roofing,"180 Chandalar Pl Dr, Pelham, AL 35124, USA",(205) 649-8383,https://www.sgrroofing.com/,5,221,33.3151934,-86.8033764,,,Alabama,Pelham,emergency roof repair,"Monday: 9:00 AM – 5:00 PM
Tuesday: 9:00 AM – 5:00 PM
Wednesday: 9:00 AM – 5:00 PM
Thursday: 9:00 AM – 5:00 PM
Friday: 9:00 AM – 5:00 PM
Saturday: Closed
Sunday: Closed"
